seed,pmax_robust,n_states,error,bounded_error,safety_error
0,0.8822210473326061,30,,,
1,1.0,30,,,
2,0.8860061990518169,28,,,
3,0.9327285841134322,28,,,
4,0.932728587575065,30,,,
5,0.8274921572181937,28,,,
6,0.48874348161474906,30,,,
7,0.9997289164402856,30,,,
8,0.9327285841134322,26,,,
9,0.7253043216611866,28,,,
10,0.7898717171112034,30,,,
11,0.8944285097065602,29,,,
12,0.6885009035730826,30,,,
13,0.932493918248636,30,,,
14,0.962209981893416,30,,,
15,0.8096495308037848,30,,,
16,0.6581560281836355,30,,,
17,0.9573173962342029,30,,,
18,0.8421052631578947,30,,,
19,0.8599977394541641,30,,,
20,0.99964456710316,30,,,
21,0.8421052631578947,30,,,
22,0.6798484395272156,30,,,
23,0.6904077875277513,30,,,
24,1.0,30,,,
25,0.8308253757545385,30,,,
26,0.3195531160293547,30,,,
27,0.8422119953015195,30,,,
28,0.9656026467114657,29,,,
29,0.0,28,,,
30,0.47869180699879815,30,,,
31,0.9672989438974695,30,,,
32,0.834198484643957,30,,,
33,0.4864965391551966,27,,,
34,0.8527131137382394,27,,,
35,0.47869180699879815,30,,,
36,0.9693794928395583,30,,,
37,0.805994375935272,30,,,
38,0.6412821310817531,30,,,
39,0.7054263565891473,30,,,
40,0.8944285202422165,30,,,
41,0.6688868329714935,27,,,
42,0.8572034836951155,30,,,
43,0.9651926145762216,30,,,
44,0.8944774909178134,29,,,
45,0.8055453870015343,30,,,
46,0.7538928495188447,30,,,
47,0.6581558710405653,29,,,
48,0.47869180699879815,30,,,
49,0.9442838841867875,28,,,
